id_institucion,anio,cantidad_mujeres,cantidad_varones
1,2020,,
2,2020,97,29
3,2020,201,63
4,2020,,
5,2020,5086,2639
6,2020,221,122
7,2020,274,345
8,2020,139,96
9,2020,17,9
10,2020,482,298
11,2020,,
12,2020,7568,4183
13,2020,1125,805
14,2020,216,500
15,2020,972,359
16,2020,242,126
17,2020,108,76
18,2020,,
19,2020,249,60
20,2020,250,72
21,2020,110,70
22,2020,1749,1210
23,2020,348,152
24,2020,3497,2193
25,2020,276,151
26,2020,87,40
27,2020,1176,758
28,2020,840,621
29,2020,576,249
30,2020,770,424
31,2020,604,255
32,2020,161,64
33,2020,1777,1042
34,2020,211,139
35,2020,0,0
36,2020,101,26
37,2020,200,105
38,2020,11,2
39,2020,384,207
40,2020,3,3
41,2020,209,154
42,2020,172,91
43,2020,8208,4953
44,2020,193,180
45,2020,2,12
46,2020,322,229
47,2020,389,144
48,2020,880,393
49,2020,325,77
50,2020,,
51,2020,578,366
52,2020,871,2147
53,2020,20,10
54,2020,330,164
55,2020,714,413
56,2020,315,150
57,2020,20,14
58,2020,,
59,2020,76,412
60,2020,161,210
61,2020,122,684
62,2020,965,297
63,2020,15,16
64,2020,8,8
65,2020,0,0
66,2020,153,39
67,2020,,
