id,institucion,tipo,cpres
1,Alto Uruguay,Universidad Nacional,Noroeste
2,Artes,Universidad Nacional,Metropolitana
3,Arturo Jauretche,Universidad Nacional,Metropolitana
4,Avellaneda,Universidad Nacional,Metropolitana
5,Buenos Aires,Universidad Nacional,Metropolitana
6,Catamarca,Universidad Nacional,Noroeste
7,Centro de la PBA,Universidad Nacional,Bonaerense
8,Chaco Austral,Universidad Nacional,Noreste
9,Chilecito,Universidad Nacional,Centro-Oeste
10,Comahue,Universidad Nacional,Sur
11,Comechingones,Universidad Nacional,Centro-Oeste
12,Córdoba,Universidad Nacional,Centro-Oeste
13,Cuyo,Universidad Nacional,Centro-Oeste
14,Defensa,Universidad Nacional,Metropolitana
15,Entre Ríos,Universidad Nacional,Centro-Este
16,Formosa,Universidad Nacional,Noreste
17,Gral. Sarmiento,Universidad Nacional,Metropolitana
18,Guillermo Brown,Universidad Nacional,Metropolitana
19,Hurlingham,Universidad Nacional,Metropolitana
20,José C. Paz,Universidad Nacional,Metropolitana
21,Jujuy,Universidad Nacional,Noroeste
22,La Matanza,Universidad Nacional,Metropolitana
23,La Pampa,Universidad Nacional,Sur
24,La Plata,Universidad Nacional,Bonaerense
25,La Rioja,Universidad Nacional,Centro-Oeste
26,Lanús,Universidad Nacional,Metropolitana
27,Litoral,Universidad Nacional,Centro-Este
28,Lomas de Zamora,Universidad Nacional,Metropolitana
29,Luján,Universidad Nacional,Bonaerense
30,Mar del Plata,Universidad Nacional,Bonaerense
31,Misiones,Universidad Nacional,Noreste
32,Moreno,Universidad Nacional,Metropolitana
33,Nordeste,Universidad Nacional,Noreste
34,Noroeste de la PBA,Universidad Nacional,Bonaerense
35,Oeste,Universidad Nacional,Metropolitana
36,Patagonia Austral,Universidad Nacional,Sur
37,Patagonia S. J. Bosco,Universidad Nacional,Sur
38,Pedagógica,Universidad Nacional,Bonaerense
39,Quilmes,Universidad Nacional,Metropolitana
40,Rafaela,Universidad Nacional,Centro
41,Río Cuarto,Universidad Nacional,Centro-Oeste
42,Río Negro,Universidad Nacional,Sur
43,Rosario,Universidad Nacional,Centro-Este
44,Salta,Universidad Nacional,Noroeste
45,San Antonio de Areco,Universidad Nacional,Bonaerense
46,San Juan,Universidad Nacional,Centro-Oeste
47,San Luis,Universidad Nacional,Centro-Oeste
48,San Martín,Universidad Nacional,Centro-Este
49,Santiago del Estero,Universidad Nacional,Noroeste
50,Scalabarini Ortiz,Universidad Nacional,Metropolitana
51,Sur,Universidad Nacional,Bonaerense
52,Tecnológica Nacional,Universidad Nacional,Bonaerense
53,Tierra del Fuego,Universidad Nacional,Sur
54,Tres de Febrero,Universidad Nacional,Metropolitana
55,Tucumán,Universidad Nacional,Noroeste
56,Villa María,Universidad Nacional,Centro-Oeste
57,Villa Mercedes,Universidad Nacional,Centro-Oeste
58,DD. HH. Madres de Plaza de Mayo,Instituto Universitario Nacional,Metropolitana
59,Gendarmería,Instituto Universitario Nacional,Metropolitana
60,Policía Federal Argentina,Instituto Universitario Nacional,Metropolitana
61,Seguridad Marítima,Instituto Universitario Nacional,Bonaerense
62,Autónoma de Entre Ríos,Universidad Provincial,Centro-Este
63,Chubut,Universidad Provincial,Sur
64,Ezeiza,Universidad Provincial,Metropolitana
65,Provincial de Córdoba,Universidad Provincial,Centro-Oeste
66,Sudoeste,Universidad Provincial,Bonaerense
67,Patagónico de las Artes,Instituto Universitario Provincial,Sur
