id_institucion,anio,cantidad_mujeres,cantidad_varones
1,2020,241,85
2,2020,10010,4524
3,2020,12872,6533
4,2020,6647,5002
5,2020,159076,94461
6,2020,6610,4390
7,2020,6682,5655
8,2020,7103,5108
9,2020,1243,620
10,2020,15857,8560
11,2020,,
12,2020,79377,44930
13,2020,17756,10306
14,2020,1620,3097
15,2020,9412,5303
16,2020,5701,3158
17,2020,5976,7857
18,2020,45,61
19,2020,5677,2931
20,2020,8220,3732
21,2020,11857,7632
22,2020,19075,15104
23,2020,6173,2992
24,2020,49420,35679
25,2020,11902,6818
26,2020,7346,4429
27,2020,23257,15560
28,2020,18197,11165
29,2020,12100,6468
30,2020,16300,10493
31,2020,11800,7884
32,2020,4527,3057
33,2020,24123,17767
34,2020,3590,2599
35,2020,3501,1689
36,2020,4043,1722
37,2020,7899,4849
38,2020,465,56
39,2020,10938,6964
40,2020,402,345
41,2020,7722,4784
42,2020,4614,3144
43,2020,43196,25102
44,2020,15657,11072
45,2020,424,367
46,2020,10164,7185
47,2020,8545,4129
48,2020,7835,5687
49,2020,6447,3772
50,2020,1,0
51,2020,10224,7005
52,2020,16807,54499
53,2020,1541,1194
54,2020,8496,5737
55,2020,34140,19582
56,2020,3380,2104
57,2020,1307,470
58,2020,,
59,2020,290,1225
60,2020,1947,1718
61,2020,196,749
62,2020,12965,6395
63,2020,690,308
64,2020,1276,1095
65,2020,3431,985
66,2020,891,373
67,2020,1097,851
